ProductId,Gender,ColorGroup,ProductType
100326,erkek,bordo,sweatshirt
101284,kadin,bordo,spor-ayakkabi
101474,erkek,bej,kazak
101499,erkek,bej,kazak
101503,erkek,siyah,kazak
101504,erkek,yesil,kazak
101505,erkek,gri,kazak
101660,erkek,kahverengi,bot
102005,erkek,lacivert,sweatshirt
102629,erkek,lacivert,sweatshirt
103708,erkek,bordo,sweatshirt
104034,kadin,mavi,sweatshirt
104129,erkek,beyaz,hirka
104154,erkek,kahverengi,kazak
104643,kadin,mavi,kazak
104664,kadin,mavi,kazak
104701,erkek,kahverengi,kazak
104707,erkek,mavi,kazak
104777,erkek,beyaz,bot
105273,erkek,beyaz,bot
105275,erkek,lacivert,bot
105395,kadin,bordo,topuklu-ayakkabi
107422,erkek,bordo,sweatpant
107424,erkek,yesil,sweatpant
107783,erkek,yesil,kazak
107792,erkek,gri,hirka
107821,erkek,bordo,kazak
107825,erkek,bordo,kazak
107829,erkek,siyah,kazak
107830,erkek,lacivert,kazak
107841,erkek,mavi,kazak
108064,erkek,kahverengi,kazak
108065,erkek,mavi,kazak
108066,erkek,lacivert,kazak
108534,erkek,siyah,bot
108535,erkek,kahverengi,bot
108615,erkek,yesil,atlet
112168,kadin,yesil,kazak
112173,kadin,bej,kazak
112176,kadin,kahverengi,kazak
115399,erkek,lacivert,kazak
116150,kadin,bordo,sweatpant
119434,kadin,yesil,kazak
119440,kadin,yesil,hirka
122238,kadin,gri,tulum
122388,kadin,mavi,t-shirt
122986,kadin,yesil,kazak
123004,kadin,gri,kazak
123005,kadin,gri,kazak
125745,erkek,bordo,sweatshirt
125746,erkek,yesil,sweatshirt
134014,kadin,kahverengi,babet
134017,kadin,kahverengi,babet
136798,erkek,mavi,kazak
137437,kadin,bordo,sweatshirt
137438,kadin,lacivert,sweatshirt
139191,erkek,kahverengi,hirka
139197,erkek,yesil,yelek
139199,erkek,mavi,yelek
141047,kadin,kahverengi,t-shirt
141070,kadin,kahverengi,sweatshirt
141116,kadin,lacivert,atlet
141437,kadin,mavi,sweatshirt
142125,kadin,bej,sweatshirt
144332,kadin,bej,tulum
145453,kadin,gri,babet
146727,kadin,bej,tulum
147141,kadin,kahverengi,sort
149544,kadin,bordo,esofman-takim
149545,kadin,kahverengi,esofman-takim
154305,erkek,yesil,sweatshirt
158182,kadin,bordo,sort
170529,erkek,bordo,mont
216159,erkek,gri,kazak
216239,kadin,yesil,sweatshirt
216241,kadin,bordo,sweatshirt
216321,erkek,siyah,bot
216322,erkek,kahverengi,bot
216869,kadin,mavi,sort
216874,kadin,mavi,t-shirt
223061,erkek,lacivert,kazak
225468,kadin,bej,tulum
230863,kadin,kahverengi,tayt
230926,erkek,mavi,atlet
234579,kadin,bordo,esofman-takim
245666,erkek,kahverengi,esofman-alti
247789,kadin,kahverengi,babet
247970,kadin,gri,babet
345807,kadin,kahverengi,sort
354082,kadin,mavi,bot
354088,kadin,mavi,bot
355448,erkek,lacivert,atlet
355449,erkek,yesil,atlet
356941,kadin,mavi,babet
356980,kadin,mavi,babet
360556,kadin,kahverengi,tulum
361086,kadin,bordo,sort
371324,kadin,bordo,jean-pantolon
372409,kadin,kahverengi,sort
372763,erkek,kahverengi,sort
372767,erkek,kahverengi,sort
373068,kadin,bej,tulum
375953,erkek,gri,lifestyle-ayakkabi
382919,kadin,lacivert,bot
382927,kadin,kahverengi,topuklu-ayakkabi
383113,erkek,kahverengi,bot
383114,erkek,lacivert,bot
383119,erkek,siyah,bot
383120,erkek,kahverengi,bot
383136,kadin,gri,topuklu-ayakkabi
383267,kadin,bordo,babet
383354,kadin,lacivert,klasik-ayakkabi
383355,kadin,bordo,klasik-ayakkabi
383360,kadin,bordo,klasik-ayakkabi
383378,kadin,siyah,klasik-ayakkabi
383684,kadin,mavi,bot
389529,kadin,bej,jean-pantolon
389534,kadin,gri,topuklu-ayakkabi
389907,kadin,siyah,klasik-ayakkabi
391678,kadin,bordo,klasik-ayakkabi
391693,kadin,siyah,klasik-ayakkabi
391694,kadin,siyah,klasik-ayakkabi
392081,kadin,kahverengi,sweatshirt
392103,kadin,kahverengi,sweatshirt
392782,kadin,kahverengi,jean-pantolon
395104,kadin,kahverengi,sort
415574,kadin,mavi,bot
423268,kadin,kahverengi,spor-ayakkabi
427534,kadin,yesil,t-shirt
429893,kadin,siyah,klasik-ayakkabi
